geo_id,police_stations,fire_stations,public_schools,parks,commercial_establishments,number_of_police_killings,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1400000US17031031502,1,3,25,12,45.0,0.0,0.0,51.0,135.0,25.0,0.0,5.0,46.0,2.0,15.0,55.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,29.0,28.0,,0.0,,0.0,2.0,0.0,50.0,0.0,0.0,6.0,18.0,4.0,0.0,177.0,14.0
1400000US17031031700,2,5,30,15,77.0,0.0,0.0,150.0,361.0,90.0,0.0,13.0,205.0,2.0,78.0,163.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,69.0,73.0,,0.0,,1.0,15.0,0.0,144.0,1.0,0.0,13.0,63.0,4.0,2.0,390.0,14.0
1400000US17031031800,2,6,32,15,34.0,0.0,0.0,19.0,57.0,33.0,0.0,3.0,52.0,0.0,17.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,17.0,3.0,,0.0,,0.0,3.0,0.0,28.0,0.0,0.0,2.0,15.0,4.0,0.0,129.0,0.0
1400000US17031031900,2,7,32,15,59.0,0.0,0.0,22.0,46.0,30.0,0.0,3.0,44.0,0.0,12.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,,0.0,,0.0,4.0,0.0,33.0,0.0,0.0,2.0,12.0,1.0,0.0,149.0,2.0
1400000US17031032100,1,4,27,11,71.0,0.0,0.0,139.0,353.0,116.0,0.0,23.0,183.0,5.0,61.0,258.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,78.0,19.0,,1.0,,0.0,17.0,0.0,119.0,0.0,0.0,1.0,67.0,13.0,0.0,730.0,8.0
1400000US17031040100,2,4,35,8,60.0,0.0,1.0,62.0,285.0,41.0,0.0,9.0,152.0,0.0,29.0,97.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,51.0,29.0,,0.0,,0.0,4.0,0.0,59.0,0.0,0.0,6.0,15.0,8.0,2.0,252.0,7.0
1400000US17031040201,2,6,38,10,106.0,0.0,0.0,92.0,229.0,73.0,0.0,18.0,154.0,4.0,55.0,148.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,62.0,32.0,,0.0,,0.0,11.0,0.0,93.0,0.0,0.0,5.0,22.0,5.0,0.0,310.0,12.0
1400000US17031040202,2,5,36,9,79.0,0.0,1.0,127.0,324.0,81.0,1.0,11.0,199.0,8.0,36.0,159.0,0.0,1.0,0.0,6.0,2.0,1.0,0.0,66.0,45.0,,1.0,,0.0,24.0,0.0,120.0,3.0,0.0,5.0,44.0,10.0,0.0,441.0,10.0
1400000US17031040300,2,5,36,9,17.0,0.0,1.0,45.0,183.0,53.0,0.0,6.0,109.0,2.0,13.0,46.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.0,24.0,,0.0,,0.0,3.0,0.0,31.0,0.0,0.0,5.0,22.0,4.0,0.0,156.0,4.0
1400000US17031040401,1,6,41,11,44.0,0.0,0.0,40.0,69.0,42.0,0.0,2.0,65.0,0.0,20.0,88.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0,20.0,,0.0,,0.0,4.0,1.0,41.0,0.0,0.0,0.0,22.0,4.0,0.0,230.0,3.0
1400000US17031040402,2,7,38,10,61.0,0.0,1.0,41.0,101.0,57.0,0.0,7.0,91.0,3.0,23.0,133.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,27.0,,0.0,,0.0,6.0,0.0,59.0,0.0,0.0,5.0,19.0,6.0,4.0,288.0,5.0
1400000US17031040600,1,7,41,9,116.0,0.0,0.0,40.0,99.0,48.0,0.0,3.0,78.0,0.0,21.0,72.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,26.0,4.0,,0.0,,1.0,1.0,0.0,34.0,0.0,0.0,2.0,26.0,5.0,2.0,242.0,1.0
1400000US17031040700,2,6,41,11,78.0,0.0,1.0,50.0,89.0,49.0,0.0,6.0,95.0,0.0,20.0,68.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,21.0,8.0,,0.0,,0.0,4.0,0.0,33.0,0.0,0.0,1.0,24.0,7.0,0.0,204.0,5.0
1400000US17031040800,2,6,42,10,12.0,0.0,0.0,13.0,30.0,26.0,0.0,1.0,37.0,0.0,11.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,11.0,,0.0,,0.0,5.0,0.0,16.0,0.0,0.0,0.0,10.0,2.0,1.0,104.0,1.0
1400000US17031040900,2,7,47,11,57.0,0.0,1.0,30.0,69.0,34.0,0.0,5.0,55.0,2.0,31.0,39.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,22.0,5.0,,0.0,,0.0,5.0,0.0,36.0,0.0,0.0,1.0,13.0,4.0,1.0,195.0,1.0
1400000US17031050100,2,7,39,12,63.0,0.0,0.0,13.0,28.0,41.0,0.0,2.0,46.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,,0.0,,0.0,2.0,0.0,15.0,0.0,0.0,2.0,12.0,2.0,0.0,107.0,0.0
1400000US17031050200,2,7,43,10,146.0,0.0,1.0,35.0,76.0,79.0,0.0,6.0,105.0,0.0,25.0,135.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,32.0,7.0,,0.0,,0.0,6.0,0.0,38.0,0.0,0.0,2.0,31.0,2.0,4.0,409.0,2.0
1400000US17031050300,2,7,42,10,57.0,0.0,0.0,10.0,28.0,39.0,0.0,1.0,49.0,1.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,,0.0,,0.0,2.0,0.0,16.0,0.0,0.0,1.0,8.0,1.0,0.0,89.0,3.0
1400000US17031050500,1,7,44,12,72.0,0.0,1.0,35.0,86.0,64.0,0.0,2.0,75.0,2.0,17.0,119.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,40.0,11.0,,1.0,,0.0,9.0,0.0,31.0,0.0,0.0,2.0,34.0,7.0,2.0,328.0,0.0
1400000US17031050600,1,8,37,10,100.0,0.0,0.0,17.0,44.0,45.0,0.0,2.0,55.0,0.0,13.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,,0.0,,0.0,2.0,0.0,21.0,0.0,0.0,1.0,21.0,3.0,0.0,185.0,0.0
1400000US17031050700,2,7,38,11,17.0,0.0,1.0,9.0,13.0,31.0,0.0,1.0,25.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,3.0,,0.0,,0.0,0.0,0.0,7.0,0.0,1.0,1.0,9.0,1.0,0.0,82.0,0.0
1400000US17031050800,2,8,38,13,43.0,0.0,0.0,10.0,24.0,18.0,0.0,0.0,23.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,77.0,0.0
1400000US17031050900,2,7,39,13,21.0,0.0,0.0,12.0,21.0,13.0,0.0,0.0,24.0,0.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,,0.0,,0.0,1.0,0.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,164.0,2.0
1400000US17031051000,2,7,42,15,33.0,0.0,0.0,5.0,35.0,14.0,0.0,3.0,47.0,0.0,8.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,,0.0,,0.0,1.0,0.0,17.0,0.0,0.0,1.0,8.0,1.0,0.0,98.0,3.0
